科修达有限公司,万科企业股份有限公司
深圳市全新好股份有限公司,上海上海量宽技术有限公司
深圳市宝安宝利来实业有限公司,神州高铁技术股份有限公司
中国北方工业公司,中国南玻集团股份有限公司
前海人寿保险股份有限公司,中国南玻集团股份有限公司
深圳南玻显示器件科技有限公司,中国南玻集团股份有限公司
深圳南玻显示器件科技有限公司,中国南玻集团股份有限公司
深业沙河（集团）有限公司,沙河实业股份有限公司
深圳中恒华发股份有限公司,深圳市中恒华发科技有限公司
深圳能源集团股份有限公司,国泰君安
深圳能源集团股份有限公司,长城证券股份有限公司
深圳长城开发科技股份有限公司,深圳市桑达实业股份有限公司
神州数码集团股份有限公司,郭为
神州数码集团股份有限公司,郭为
深圳大通实业股份有限公司,朱兰英
东旭集团有限公司,东旭蓝天新能源股份有限公司
东旭集团有限公司,东旭蓝天新能源股份有限公司
深圳市中洲投资控股股份有限公司,青岛市源洲投资有限公司
深圳市中洲投资控股股份有限公司,深圳中洲集团有限公司
深圳市中洲投资控股股份有限公司,青岛市源洲投资有限公司
深圳市中洲投资控股股份有限公司,深圳中洲集团有限公司
深圳格兰云天酒店管理有限公司,中航地产股份有限公司
深圳航空标准件有限公司,中航地产
泛海控股股份有限公司,中国泛海控股集团有限公司
泛海控股股份有限公司,泛海资本投资管理集团有限公司
泛海控股股份有限公司,中国泛海控股集团有限公司
中国泛海控股集团有限公司,泛海控股股份有限公司
深圳华强,杨林
深圳市华融泰资产管理有限公司,深圳华控赛格股份有限公司
深圳华侨城文化控股有限公司,深圳华侨城股份有限公司
深圳市机场股份有限公司,深圳市机场（集团）有限公司
深圳市机场股份有限公司,深圳市机场（集团）有限公司
深圳市机场股份有限公司,深圳市机场（集团）有限公司
宜华健康医疗股份有限公司,林正刚
安徽丰原药业股份有限公司,安徽丰原集团有限公司
安徽丰原药业股份有限公司,安徽丰原集团有限公司
振兴集团有限公司,振兴生化股份有限公司
沈阳机床股份有限公司,云科智能制造（沈阳）有限公司
渤海金控投资股份有限公司,聚宝互联科技（深圳）股份有限公司
海航资本集团有限公司,渤海金控投资股份有限公司
渤海金控投资股份有限公司,海口美兰国际机场有限责任公司
南京公共交通（集团）有限公司,南京公用发展股份有限公司
寿光晨鸣控股有限公司,山东晨鸣纸业集团股份有限公司
山东高速集团有限公司,山东高速路桥集团股份有限公司
中海恒实业发展有限公司,海虹企业(控股)股份有限公司
海南海虹资产管理有限公司,海虹企业(控股)股份有限公司
南华生物医药股份有限公司,湖南省财信产业基金管理有限公司
南华生物医药股份有限公司,南省财信产业基金管理有限公司
北京市万发房地产开发有限责任公司,海南珠江控股股份有限公司
金路集团,虞云新
健康元药业集团股份有限公司,丽珠医药集团股份有限公司
珠海横琴新区观联谷投资合伙企业（有限合伙）,丽珠医药集团股份有限公司
重庆市城市建设投资（集团）有限公司,重庆渝开发股份有限公司
江南工业集团有限公司,中兵红箭股份有限公司
江南工业集团有限公司,中兵红箭股份有限公司
刘宏伟,合肥美菱股份有限公司
广西柳工机械股份有限公司,广西康明斯工业动力有限公司
柳州柳工液压件有限公司,广西柳工机械股份有限公司
大连冷冻机股份有限公司,三洋电机株式会社
大连冷冻机股份有限公司,大连富士冰山自动售货机有限公司
大连冷冻机股份有限公司,三洋电机株式会社
大连冷冻机股份有限公司,三洋电机株式会社
